"General","장군"
"Toggle the visibility of the item.  Hidden items cannot be seen but citizens will still use them.","항목의 표시를 전환합니다. 숨겨진 물건들은 보이지 않지만 시민들은 여전히 그것들을 사용할 것입니다."
"Create a new work order.  Work orders are like workshop jobs but they are assigned to shops automatically and can be activated with various conditions.","새 작업 명령을 만듭니다. 작업 명령은 작업장 작업과 비슷하지만 자동으로 상점에 할당되며 다양한 조건으로 활성화될 수 있습니다."
"This work order is active.","이 작업 주문은 활성 상태입니다."
"This work order is waiting for its next scheduled check.","이 작업 주문은 다음 예정된 확인을 기다리고 있습니다."
"This work order is checking its conditions for activation.","이 작업 주문은 활성화 조건을 확인하고 있습니다."
"This work order is ready to activate.","이 작업 주문을 활성화할 준비가 되었습니다."
"Set the maximum number of workshops that can be used by the work order.","작업 명령에서 사용할 수 있는 최대 워크샵 수를 설정합니다."
"This work order has been validated by the manager.","이 작업 주문은 관리자가 확인했습니다."
"This work order has not been validated by the manager.  A manager can be employed in the nobles and administrators menu, and they must have an assigned office where they will work to validate orders.","관리자가 이 작업 명령의 유효성을 검사하지않습니다.. 관리자는 귀족 및 관리자 메뉴에서 사용할 수 있으며, 관리자는 주문을 확인하기 위해 작업할 사무실이 할당되어 있어야 합니다."
"Change the number of times the task will be performed.","작업이 수행되는 횟수를 변경합니다."
"Change the work order priority.  Work orders at the top of the list will use workshops first.","작업 순서 우선 순위를 변경합니다. 목록의 맨 위에 있는 작업 명령은 먼저 워크샵을 사용합니다."
"Set the conditions for work order activation.  This can involve needed materials, the current stock of products, or the completion of other work orders.","워크오더 활성화 조건을 설정합니다. 여기에는 필요한 재료, 현재 제품 재고 또는 기타 작업 주문의 완료가 포함될 수 있습니다."
"Set the material used or other details of the task.","사용된 재료 또는 작업의 기타 세부 사항을 설정합니다."
"Remove this work order.","이 작업 지시를 제거하십시오."
"Change the frequency that the conditions are checked.","조건을 확인하는 빈도를 변경합니다."
"Add a condition to the work order that checks the amount of some item.","일부 항목의 양을 확인하는 작업 주문에 조건을 추가합니다."
"Make the activation of the work order depend on the status of another work order.","다른 작업 명령의 상태에 따라 작업 명령의 활성화를 결정합니다."
"Change the amount of the item being checked.","체크하고 있는 항목의 양을 변경합니다."
"Change the inequality of the condition.","조건의 부등식을 변경합니다."
"Change the type of the item being checked.","체크하고 있는 항목의 종류를 변경합니다."
"Change the material of the item being checked.","검사 중인 항목의 재질을 변경합니다."
"Change the properties of the item being checked.  Many of these are obscure and rely on specific tasks, but certain properties like 'empty' can be used in many conditions.","검사 중인 항목의 속성을 변경합니다. 이들 중 많은 것들은 모호하고 특정한 작업에 의존하지만, '비어 있음'과 같은 특정 속성은 많은 조건에서 사용될 수 있습니다."
"Change whether the work order must be activated or completed to satisfy this condition.","이 조건을 충족하려면 작업 명령을 활성화해야 하는지 아니면 완료해야 하는지 변경합니다."
"Remove this condition.","이 조건을 제거하십시오."
"Leave this menu and recenter on this creature.","이 메뉴를 그대로 두고 이 생명체를 중심으로 돌아갑니다."
"Leave this menu and view this creature's sheet.","이 메뉴를 종료하고 이 생물의 시트를 봅니다."
"Leave this menu and recenter on this object.","이 메뉴를 그대로 두고 이 객체를 중심으로 맞춥니다."
"Leave this menu and view this object's sheet.","이 메뉴를 종료하고 이 개체의 시트를 봅니다."
"Leave this menu and recenter on this place.","이 메뉴를 그대로 두고 이 장소를 중앙에 둡니다."
"Leave this menu and view this place's sheet or menu.","이 메뉴를 종료하고 이 장소의 시트 또는 메뉴를 봅니다."
"Leave this menu and recenter on the task's building.","이 메뉴를 그대로 두고 작업 건물을 중앙으로 이동합니다."
"Set the details of this task, such as the material used.","사용된 재료와 같은 이 작업의 세부 사항을 설정합니다."
"View a detailed description of this activity.","이 활동에 대한 자세한 설명을 봅니다."
"Toggle whether the task will be repeated indefinitely.","작업을 무기한 반복할지 여부를 전환합니다."
"Remove the current worker from the task.","작업에서 현재 작업자를 제거합니다."
"Suspend this task.  This removes the worker.  The task can be unsuspended.","이 작업을 일시 중단합니다. 작업자가 제거됩니다. 작업을 일시 중단하지 않을 수 있습니다."
"Cancel this task.","이 작업을 취소하십시오."
"Assign a trainer to this creature.","이 생물에 트레이너를 지정하십시오."
"Assign this creature as a work animal for a specific citizen or resident.","이 생물을 특정 시민이나 거주자를 위한 작업 동물로 지정하십시오."
"Toggle whether this creature will receive war training.  War animals have more lethal attacks.","이 생물이 전쟁 훈련을 받을지 여부를 전환합니다. 전쟁 동물들은 더 치명적인 공격을 가합니다."
"Toggle whether this creature will receive hunting training.  Hunting animals can move stealthfully during hunts.","이 생물이 사냥 훈련을 받을지 여부를 전환합니다. 사냥하는 동물들은 사냥하는 동안 조용히 움직일 수 있습니다."
"Toggle whether this creature is available as a pet for any interested citizen or resident.","관심 있는 시민이나 거주자가 이 생물을 애완동물로 사용할 수 있는지 여부를 전환합니다."
"This creature is ecstatic right now.","이 생물은 지금 황홀합니다."
"This creature is happy right now.","이 생물은 지금 행복합니다."
"This creature is pleased right now.","이 생물은 지금 기뻐합니다."
"This creature is content right now.","이 생물은 지금 만족합니다."
"This creature is displeased right now.","이 생물은 지금 불쾌합니다."
"This creature is unhappy right now.","이 생물은 지금 불행합니다."
"This creature is miserable right now.","이 생물은 지금 비참합니다."
"This worker is specialized and will only do tasks that match their workshop assignments, work details, and occupations.  Click to toggle.","이 작업자는 전문화되어 있으며 작업장 과제, 작업 세부사항 및 직업과 일치하는 작업만 수행합니다. 클릭하여 전환합니다."
"This worker is not specialized and will do any free tasks that become available.  Click to toggle.","이 작업자는 전문가가 아니므로 사용 가능한 모든 무료 작업을 수행합니다. 클릭하여 전환합니다."
"This creature is a tavern keeper.","이 생물은 선술집 주인입니다."
"This creature is a performer.","이 생물은 연기자입니다."
"This creature is a scholar.","이 생물은 학자입니다."
"This creature is a scribe.","이 생물은 서기관입니다."
"This creature is a mercenary.","이 생물은 용병입니다."
"This creature is a monster slayer.","이 생물은 몬스터 슬레이어입니다."
"This creature is a doctor.","이 생물은 의사입니다."
"This creature is assigned to a specific workshop.","이 생물은 특정 작업장에 배정됩니다."
"This creature is assigned to a work detail.","이 생물은 작업 세부 사항에 할당됩니다."
"Toggle whether this creature will be slaughtered at a butcher's shop when the opportunity arises.","기회가 되면 정육점에서 이 생물을 도살할지 여부를 전환하십시오."
"Toggle whether this creature will be gelded at a farmer's workshop when the opportunity arises.","기회가 있을 때 이 생물이 농부의 작업장에서 도금을 할지 여부를 전환합니다."
"This type is not relevant to brewing.","이 유형은 양조와 관련이 없습니다."
"This type is restricted from brewing.","이 유형은 양조가 제한됩니다."
"This type is allowed to be brewed.","이 유형은 양조가 허용됩니다."
"This type is not relevant to cooking.","이 유형은 요리와 관련이 없습니다."
"This type is restricted from cooking.","이 유형은 요리가 제한됩니다."
"This type is allowed to be cooked.","이 유형은 요리가 허용됩니다."
"Rename this location.","이 위치의 이름을 바꿉니다."
"This option allows visitors from outside the fortress to enter this location.","이 옵션을 사용하면 요새 외부의 방문자가 이 위치에 들어갈 수 있습니다."
"This option allows long-term residents of the fortress to enter this location.","이 옵션을 선택하면 요새의 장기 거주자가 이 위치에 들어갈 수 있습니다."
"This option indicates that the location is only open to fortress citizens.","이 옵션은 해당 위치가 요새 시민들에게만 열려 있음을 나타냅니다."
"This option indicates that the location is only open to members.","이 옵션은 위치가 회원에게만 공개됨을 나타냅니다."
"Remove this worker from this occupation.","이 직업에서 이 근로자를 제거하십시오."
"Set the camera to follow this item.","이 항목을 따라가도록 카메라를 설정합니다."
"This item is tagged by a task and will not be used by other tasks.","이 항목은 작업에 의해 태그가 지정되며 다른 작업에서 사용되지 않습니다."
